Epoch,Total Reward,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
21,355.40000000000015,10000,4165.270034790039,9281.71011352539,13446.98014831543,1648.3399963378906,34.46980148315429,106,89,58,253,0.4189723320158103,0.35177865612648224,0.22924901185770752
22,412.20000000000005,10000,3684.250045776367,10179.940124511719,13864.190170288086,1879.7300262451172,38.64190170288086,113,87,53,253,0.44664031620553357,0.3438735177865613,0.20948616600790515
23,341.49999999999994,10000,10618.25991821289,898.2300109863281,11516.489929199219,1452.7399291992188,15.164899291992187,72,92,89,253,0.2845849802371542,0.36363636363636365,0.35177865612648224
24,209.50000000000003,10000,10836.030014038086,0.0,10836.030014038086,836.0300140380859,8.36030014038086,71,91,91,253,0.28063241106719367,0.35968379446640314,0.35968379446640314
25,185.1,10000,10748.57991027832,0.0,10748.57991027832,748.5799102783203,7.4857991027832025,61,96,96,253,0.24110671936758893,0.3794466403162055,0.3794466403162055
26,299.50000000000006,10000,11365.570007324219,0.0,11365.570007324219,1365.5700073242188,13.655700073242189,71,91,91,253,0.28063241106719367,0.35968379446640314,0.35968379446640314
27,107.99999999999994,10000,10307.310089111328,0.0,10307.310089111328,307.3100891113281,3.073100891113281,79,87,87,253,0.31225296442687744,0.3438735177865613,0.3438735177865613
28,296.69999999999993,10000,384.1300354003906,15868.730194091797,16252.860229492188,1563.2799987792969,62.528602294921875,124,91,38,253,0.4901185770750988,0.35968379446640314,0.15019762845849802
29,176.2,10000,1422.3899841308594,12874.630157470703,14297.020141601562,1140.6899719238281,42.97020141601563,138,79,36,253,0.5454545454545454,0.31225296442687744,0.1422924901185771
30,493.10000000000014,10000,8795.440002441406,4191.740051269531,12987.180053710938,2296.8299865722656,29.871800537109376,77,95,81,253,0.30434782608695654,0.37549407114624506,0.3201581027667984
31,293.4,10000,1135.2099914550781,14671.09017944336,15806.300170898438,1360.4399719238281,58.06300170898437,132,85,36,253,0.5217391304347826,0.3359683794466403,0.1422924901185771
32,344.90000000000003,10000,1878.6499481201172,13473.450164794922,15352.100112915039,1657.2599639892578,53.52100112915039,138,80,35,253,0.5454545454545454,0.31620553359683795,0.1383399209486166
33,144.7,10000,10462.310089111328,0.0,10462.310089111328,462.3100891113281,4.623100891113281,59,97,97,253,0.233201581027668,0.383399209486166,0.383399209486166
34,319.0,10000,1410.7300109863281,13772.860168457031,15183.59017944336,1509.2799682617188,51.83590179443359,133,83,37,253,0.525691699604743,0.32806324110671936,0.14624505928853754
35,164.5,10000,10612.950012207031,0.0,10612.950012207031,612.9500122070312,6.129500122070312,49,102,102,253,0.19367588932806323,0.4031620553359684,0.4031620553359684
36,394.80000000000007,10000,11862.779907226562,0.0,11862.779907226562,1862.7799072265625,18.627799072265624,89,82,82,253,0.35177865612648224,0.3241106719367589,0.3241106719367589
