Day,Price,Action True,Action Final,Action,Inventory,Reward,Total Reward,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
79,175.5500030517578,1,1,BUY,"[172.22000122070312, 175.5500030517578]",0.0,4.400000000000001,10000,9601.580001831055,351.1000061035156,9952.68000793457,-50.649993896484375,-0.4731999206542969,21,30,28,79,0.26582278481012656,0.379746835443038,0.35443037974683544
80,180.35000610351562,1,1,BUY,"[172.22000122070312, 175.5500030517578, 180.35000610351562]",0.0,4.400000000000001,10000,9421.229995727539,541.0500183105469,9962.280014038086,-50.649993896484375,-0.3771998596191406,21,31,28,80,0.2625,0.3875,0.35
81,182.50999450683594,2,2,SELL,"[175.5500030517578, 180.35000610351562]",2.1,6.500000000000002,10000,9603.739990234375,365.0199890136719,9968.759979248047,-40.36000061035156,-0.31240020751953124,21,31,29,81,0.25925925925925924,0.38271604938271603,0.35802469135802467
82,177.30999755859375,0,0,HOLD,"[175.5500030517578, 180.35000610351562]",0.0,6.500000000000002,10000,9603.739990234375,354.6199951171875,9958.359985351562,-40.36000061035156,-0.416400146484375,22,31,29,82,0.2682926829268293,0.3780487804878049,0.35365853658536583
83,187.89999389648438,1,1,BUY,"[175.5500030517578, 180.35000610351562, 187.89999389648438]",0.0,6.500000000000002,10000,9415.83999633789,563.6999816894531,9979.539978027344,-40.36000061035156,-0.2046002197265625,22,32,29,83,0.26506024096385544,0.3855421686746988,0.3493975903614458
84,187.1300048828125,2,2,SELL,"[180.35000610351562, 187.89999389648438]",2.3,8.8,10000,9602.970001220703,374.260009765625,9977.230010986328,-28.779998779296875,-0.22769989013671876,22,32,30,84,0.2619047619047619,0.38095238095238093,0.35714285714285715
85,174.89999389648438,1,1,BUY,"[180.35000610351562, 187.89999389648438, 174.89999389648438]",1.0,9.8,10000,9428.070007324219,524.6999816894531,9952.769989013672,-28.779998779296875,-0.4723001098632812,22,33,30,85,0.25882352941176473,0.38823529411764707,0.35294117647058826
86,177.8000030517578,0,0,HOLD,"[180.35000610351562, 187.89999389648438, 174.89999389648438]",0.0,9.8,10000,9428.070007324219,533.4000091552734,9961.470016479492,-28.779998779296875,-0.3852998352050781,23,33,30,86,0.26744186046511625,0.38372093023255816,0.3488372093023256
87,180.49000549316406,2,2,SELL,"[187.89999389648438, 174.89999389648438]",1.0,10.8,10000,9608.560012817383,360.9800109863281,9969.540023803711,-28.639999389648438,-0.3045997619628906,23,33,31,87,0.26436781609195403,0.3793103448275862,0.3563218390804598
88,181.22999572753906,2,2,SELL,[174.89999389648438],-1.3,9.5,10000,9789.790008544922,181.22999572753906,9971.020004272461,-35.30999755859375,-0.28979995727539065,23,33,32,88,0.26136363636363635,0.375,0.36363636363636365
89,184.0,1,1,BUY,"[174.89999389648438, 184.0]",0.0,9.5,10000,9605.790008544922,368.0,9973.790008544922,-35.30999755859375,-0.26209991455078124,23,34,32,89,0.25842696629213485,0.38202247191011235,0.3595505617977528
90,184.2899932861328,0,0,HOLD,"[174.89999389648438, 184.0]",0.0,9.5,10000,9605.790008544922,368.5799865722656,9974.369995117188,-35.30999755859375,-0.25630004882812496,24,34,32,90,0.26666666666666666,0.37777777777777777,0.35555555555555557
91,184.39999389648438,2,2,SELL,[184.0],1.9,11.4,10000,9790.190002441406,184.39999389648438,9974.58999633789,-25.80999755859375,-0.2541000366210937,24,34,33,91,0.26373626373626374,0.37362637362637363,0.3626373626373626
92,180.97000122070312,2,2,SELL,[],-1.0,10.4,10000,9971.16000366211,0.0,9971.16000366211,-28.839996337890625,-0.2883999633789062,24,34,34,92,0.2608695652173913,0.3695652173913043,0.3695652173913043
93,176.86000061035156,0,2,SELL,[],-1.0,9.4,10000,9971.16000366211,0.0,9971.16000366211,-28.839996337890625,-0.2883999633789062,25,34,34,93,0.26881720430107525,0.3655913978494624,0.3655913978494624
94,177.8699951171875,0,2,SELL,[],-1.0,8.4,10000,9971.16000366211,0.0,9971.16000366211,-28.839996337890625,-0.2883999633789062,26,34,34,94,0.2765957446808511,0.3617021276595745,0.3617021276595745
95,180.72000122070312,1,1,BUY,[180.72000122070312],1.0,9.4,10000,9790.440002441406,180.72000122070312,9971.16000366211,-28.839996337890625,-0.2883999633789062,26,35,34,95,0.2736842105263158,0.3684210526315789,0.35789473684210527
96,190.10000610351562,2,2,SELL,[],1.9,11.3,10000,9980.540008544922,0.0,9980.540008544922,-19.459991455078125,-0.19459991455078124,26,35,35,96,0.2708333333333333,0.3645833333333333,0.3645833333333333
97,194.7100067138672,0,0,HOLD,[],0.0,11.3,10000,9980.540008544922,0.0,9980.540008544922,-19.459991455078125,-0.19459991455078124,27,35,35,97,0.27835051546391754,0.36082474226804123,0.36082474226804123
98,196.63999938964844,1,1,BUY,[196.63999938964844],1.0,12.3,10000,9783.900009155273,196.63999938964844,9980.540008544922,-19.459991455078125,-0.19459991455078124,27,36,35,98,0.2755102040816326,0.3673469387755102,0.35714285714285715
99,194.75,2,2,SELL,[],-1.0,11.3,10000,9978.650009155273,0.0,9978.650009155273,-21.349990844726562,-0.2134999084472656,27,36,36,99,0.2727272727272727,0.36363636363636365,0.36363636363636365
100,195.77999877929688,0,0,HOLD,[],0.0,11.3,10000,9978.650009155273,0.0,9978.650009155273,-21.349990844726562,-0.2134999084472656,28,36,36,100,0.28,0.36,0.36
101,199.52999877929688,1,1,BUY,[199.52999877929688],1.0,12.3,10000,9779.120010375977,199.52999877929688,9978.650009155273,-21.349990844726562,-0.2134999084472656,28,37,36,101,0.27722772277227725,0.36633663366336633,0.3564356435643564
102,199.80999755859375,0,0,HOLD,[199.52999877929688],0.0,12.3,10000,9779.120010375977,199.80999755859375,9978.93000793457,-21.349990844726562,-0.2106999206542969,29,37,36,102,0.28431372549019607,0.3627450980392157,0.35294117647058826
103,202.6300048828125,2,2,SELL,[],1.0,13.3,10000,9981.750015258789,0.0,9981.750015258789,-18.249984741210938,-0.18249984741210937,29,37,37,103,0.2815533980582524,0.3592233009708738,0.3592233009708738
104,210.3800048828125,0,0,HOLD,[],0.0,13.3,10000,9981.750015258789,0.0,9981.750015258789,-18.249984741210938,-0.18249984741210937,30,37,37,104,0.28846153846153844,0.3557692307692308,0.3557692307692308
105,219.2899932861328,1,1,BUY,[219.2899932861328],1.0,14.3,10000,9762.460021972656,219.2899932861328,9981.750015258789,-18.249984741210938,-0.18249984741210937,30,38,37,105,0.2857142857142857,0.3619047619047619,0.3523809523809524
106,219.08999633789062,1,1,BUY,"[219.2899932861328, 219.08999633789062]",1.0,15.3,10000,9543.370025634766,438.17999267578125,9981.550018310547,-18.249984741210938,-0.18449981689453124,30,39,37,106,0.2830188679245283,0.36792452830188677,0.3490566037735849
107,226.38999938964844,1,1,BUY,"[219.2899932861328, 219.08999633789062, 226.38999938964844]",0.0,15.3,10000,9316.980026245117,679.1699981689453,9996.150024414062,-18.249984741210938,-0.038499755859375,30,40,37,107,0.2803738317757009,0.37383177570093457,0.34579439252336447
